Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,Glsp90,Astp90,G+Ap90,xGp90,xAGp90,xG+xAGp90,npxGp90,npxG+xAGp90,Tkl,TklW,DTkl,DTklAtt,Tkl%,Blocks,Int,Clr,Cmp,Att,Cmp%,PTotDist,PPrgDist,A-xAG,KP,1/3,PPA
Nordi Mukiele,FRA,DF,Paris S-G,Ligue 1,25,1997,16,9,796,8.8,0,0,0,0,0,0,2,0,1.3,1.3,0.1,1.4,0.0,0.0,0.0,0.15,0.01,0.16,0.15,0.16,12,8,8,15,53.3,17,14,28,486,578,84.1,7865,2275,-0.1,3,20,4
Noussair Mazraoui,MAR,DF,Bayern Munich,Bundesliga,25,1997,19,15,1197,13.3,0,3,3,0,0,0,3,0,0.9,0.9,1.8,2.6,0.0,0.23,0.23,0.07,0.13,0.2,0.07,0.2,32,21,13,21,61.9,14,20,27,865,980,88.3,12528,4216,1.2,15,92,17
Nuno Mendes,POR,DF,Paris S-G,Ligue 1,21,2002,6,2,267,3.0,1,1,2,1,0,0,3,0,0.3,0.3,0.4,0.7,0.34,0.34,0.67,0.11,0.14,0.25,0.11,0.25,5,5,4,7,57.1,4,4,2,183,222,82.4,3087,712,0.6,3,11,2
Nuno Tavares,POR,DF,Nott'ham Forest,Premier League,23,2000,8,5,457,5.1,0,0,0,0,0,0,2,0,0.2,0.2,0.5,0.7,0.0,0.0,0.0,0.03,0.1,0.13,0.03,0.13,11,7,8,9,88.9,6,1,21,201,274,73.4,2954,1132,-0.5,2,14,2
Obite N'Dicka,CIV,DF,Roma,Serie A,23,1999,25,25,2168,24.1,0,3,3,0,0,0,6,0,1.0,1.0,1.0,2.0,0.0,0.12,0.12,0.04,0.04,0.09,0.04,0.09,32,18,12,20,60.0,30,16,75,1437,1587,90.5,24097,8613,2.0,6,74,3
Odeluga Offiah,ENG,DF,Brighton,Premier League,20,2002,4,1,128,1.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,1,100.0,0,1,0,63,80,78.8,851,196,0.0,0,1,1
Odilon Kossounou,CIV,DF,Leverkusen,Bundesliga,22,2001,22,21,1811,20.1,1,0,1,1,0,0,3,0,0.6,0.6,0.7,1.3,0.05,0.0,0.05,0.03,0.03,0.06,0.03,0.06,30,20,15,26,57.7,27,27,43,1274,1428,89.2,19913,6199,-0.7,10,155,16
Ohis Felix Uduokhai,GER,DF,Augsburg,Bundesliga,25,1997,33,33,2921,32.5,2,0,2,2,0,0,5,1,1.4,1.4,0.8,2.2,0.06,0.0,0.06,0.04,0.02,0.07,0.04,0.07,37,21,16,25,64.0,45,46,178,1349,1658,81.4,25826,9681,-0.8,9,93,5
Ola Aina,NGA,DF,Nott'ham Forest,Premier League,26,1996,22,20,1692,18.8,1,1,2,1,0,0,3,0,0.3,0.3,0.9,1.2,0.05,0.05,0.11,0.01,0.05,0.06,0.01,0.06,47,31,29,41,70.7,19,18,51,603,802,75.2,9610,4012,0.1,11,58,13
Oleksandr Zinchenko,UKR,DF,Arsenal,Premier League,26,1996,27,20,1722,19.1,1,2,3,1,0,0,2,0,0.6,0.6,2.5,3.1,0.05,0.1,0.16,0.03,0.13,0.16,0.03,0.16,50,30,35,52,67.3,18,20,26,1374,1568,87.6,23132,6928,-0.5,29,154,49
Olivier Deman,BEL,DF,Werder Bremen,Bundesliga,23,2000,29,14,1365,15.2,2,1,3,2,0,0,5,0,1.1,1.1,0.9,2.0,0.13,0.07,0.2,0.07,0.06,0.13,0.07,0.13,28,15,18,38,47.4,24,14,49,543,730,74.4,9637,3323,0.1,13,34,15
Omar Alderete,PAR,DF,Getafe,La Liga,26,1996,31,24,2195,24.4,0,1,1,0,0,0,8,1,1.2,1.2,1.0,2.2,0.0,0.04,0.04,0.05,0.04,0.09,0.05,0.09,28,21,19,35,54.3,30,13,111,678,1056,64.2,16564,7319,0.0,13,98,14
Omar Traoré,GER,DF,Heidenheim,Bundesliga,25,1998,31,29,2472,27.5,0,2,2,0,0,0,5,0,0.3,0.3,1.3,1.6,0.0,0.07,0.07,0.01,0.05,0.06,0.01,0.06,60,33,32,56,57.1,32,40,54,881,1240,71.0,15012,6810,0.7,19,58,28
Óscar de Marcos,ESP,DF,Athletic Club,La Liga,34,1989,28,26,2258,25.1,1,5,6,1,0,0,5,0,0.6,0.6,3.1,3.7,0.04,0.2,0.24,0.03,0.12,0.15,0.03,0.15,56,39,42,71,59.2,28,15,44,1243,1566,79.4,20379,7935,1.9,21,131,37
Óscar Mingueza,ESP,"DF,MF",Celta Vigo,La Liga,24,1999,38,33,2998,33.3,2,2,4,2,0,0,4,0,2.6,2.6,3.9,6.5,0.06,0.06,0.12,0.08,0.12,0.2,0.08,0.2,62,38,37,80,46.3,38,17,49,1478,1967,75.1,24165,11712,-1.9,48,169,55
Oualid El Hajjam,MAR,"DF,MF",Le Havre,Ligue 1,32,1991,13,4,393,4.4,0,0,0,0,0,0,1,0,0.4,0.4,0.9,1.3,0.0,0.0,0.0,0.09,0.2,0.29,0.09,0.29,8,7,2,9,22.2,5,6,10,176,234,75.2,2859,1034,-0.9,7,12,4
Owen Beck,WAL,DF,Liverpool,Premier League,20,2002,1,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0,0,,0,0,1,3,4,75.0,31,1,0.0,0,0,0
Ozan Kabak,TUR,DF,Hoffenheim,Bundesliga,23,2000,28,28,2282,25.4,4,0,4,4,0,0,11,1,2.2,2.2,1.1,3.3,0.16,0.0,0.16,0.09,0.04,0.13,0.09,0.13,48,35,19,33,57.6,43,46,106,1159,1358,85.3,21139,7126,-1.1,8,92,16
Pablo Busto,ESP,DF,Betis,La Liga,17,2005,2,0,44,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.03,0.41,0.44,0.03,0.44,1,1,1,1,100.0,0,1,3,18,26,69.2,254,79,-0.2,1,1,1
Pablo Maffeo,ESP,DF,Mallorca,La Liga,26,1997,22,17,1454,16.2,1,2,3,1,0,0,3,1,0.8,0.8,0.9,1.7,0.06,0.12,0.19,0.05,0.05,0.1,0.05,0.1,35,22,23,40,57.5,12,10,23,374,603,62.0,6550,2806,1.1,11,32,9
Pablo Marí,ESP,DF,Monza,Serie A,29,1993,34,30,2615,29.1,0,0,0,0,0,0,7,0,0.4,0.4,0.3,0.7,0.0,0.0,0.0,0.01,0.01,0.02,0.01,0.02,41,25,22,34,64.7,40,37,115,1581,1737,91.0,33221,11252,-0.3,4,92,3
Paco Sanz,ESP,DF,Almería,La Liga,18,2004,1,0,24,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0.0,0,0,4,7,10,70.0,154,79,0.0,0,0,0
Panos Katseris,GRE,DF,Lorient,Ligue 1,22,2001,15,13,1041,11.6,1,1,2,1,0,0,4,0,2.1,2.1,0.8,2.9,0.09,0.09,0.17,0.18,0.07,0.25,0.18,0.25,26,20,16,25,64.0,20,8,18,275,393,70.0,4101,1231,0.2,9,13,4
Pantelis Hatzidiakos,GRE,DF,Cagliari,Serie A,26,1997,13,13,856,9.5,0,0,0,0,0,0,1,0,0.4,0.4,0.0,0.4,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04,22,10,10,17,58.8,14,13,30,328,405,81.0,6195,2526,0.0,1,31,3
Pascal Stenzel,GER,DF,Stuttgart,Bundesliga,27,1996,23,14,1064,11.8,0,5,5,0,0,0,3,1,0.3,0.3,3.2,3.5,0.0,0.42,0.42,0.03,0.27,0.29,0.03,0.29,18,8,10,30,33.3,22,15,26,715,824,86.8,13536,3889,1.8,15,66,25
Pasquale Mazzocchi,ITA,DF,Salernitana,Serie A,28,1995,18,16,1272,14.1,0,1,1,0,0,0,4,0,0.3,0.3,1.3,1.6,0.0,0.07,0.07,0.02,0.09,0.11,0.02,0.11,25,19,16,29,55.2,14,5,31,460,635,72.4,6631,3051,-0.3,14,30,16
Pasquale Mazzocchi,ITA,DF,Napoli,Serie A,28,1995,10,4,428,4.8,0,1,1,0,0,0,0,1,0.2,0.2,0.2,0.4,0.0,0.21,0.21,0.03,0.04,0.08,0.03,0.08,5,2,2,3,66.7,5,1,13,225,276,81.5,3611,1120,0.8,3,18,6
Patric,ESP,DF,Lazio,Serie A,30,1993,20,19,1608,17.9,2,0,2,2,0,0,4,0,1.4,1.4,0.2,1.5,0.11,0.0,0.11,0.08,0.01,0.09,0.08,0.09,13,8,8,18,44.4,15,6,44,1051,1199,87.7,20688,7423,-0.2,4,65,6
Patric Pfeiffer,GER,DF,Augsburg,Bundesliga,23,1999,11,4,511,5.7,0,1,1,0,0,0,0,0,0.5,0.5,0.8,1.3,0.0,0.18,0.18,0.09,0.14,0.22,0.09,0.22,11,7,5,6,83.3,10,11,21,193,267,72.3,4034,1515,0.2,4,15,3
Patrick Ciurria,ITA,"DF,MF",Monza,Serie A,28,1995,22,18,1598,17.8,0,1,1,0,0,0,2,0,1.5,1.5,2.6,4.1,0.0,0.06,0.06,0.09,0.15,0.23,0.09,0.23,30,18,13,21,61.9,20,9,28,662,847,78.2,10671,3258,-1.6,30,46,28
Patrick Dorgu,DEN,"DF,MF",Lecce,Serie A,18,2004,32,17,1564,17.4,2,0,2,2,0,0,6,0,2.0,2.0,1.6,3.6,0.12,0.0,0.12,0.11,0.09,0.21,0.11,0.21,43,22,22,34,64.7,16,9,45,582,729,79.8,9119,2695,-1.6,18,31,13
Patrick Mainka,GER,DF,Heidenheim,Bundesliga,28,1994,34,34,3060,34.0,2,0,2,2,0,0,1,0,3.2,3.2,0.1,3.2,0.06,0.0,0.06,0.09,0.0,0.09,0.09,0.09,85,49,38,74,51.4,66,49,158,1289,1555,82.9,25821,10674,-0.1,3,77,2
Pau Cubarsí,ESP,DF,Barcelona,La Liga,16,2007,19,18,1558,17.3,0,0,0,0,0,0,4,0,0.1,0.1,0.4,0.5,0.0,0.0,0.0,0.01,0.02,0.03,0.01,0.03,22,14,13,18,72.2,20,12,65,1360,1487,91.5,25525,8442,-0.4,5,73,0
Pau Torres,ESP,DF,Aston Villa,Premier League,26,1997,29,27,2464,27.4,2,0,2,2,0,0,1,0,1.0,1.0,0.4,1.4,0.07,0.0,0.07,0.04,0.02,0.05,0.04,0.05,29,18,14,30,46.7,28,14,75,1562,1788,87.4,29096,9616,-0.4,8,141,12
Paul Dummett,WAL,DF,Newcastle Utd,Premier League,31,1991,5,0,20,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.11,0.11,0.11,1,0,1,1,100.0,0,0,1,21,23,91.3,320,76,0.0,0,2,0
Paul Jaeckel,GER,DF,Union Berlin,Bundesliga,25,1998,6,2,234,2.6,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,7,2,5,9,55.6,3,4,7,121,136,89.0,2388,943,-0.1,2,7,1
Paulo Azzi,BRA,"DF,MF",Cagliari,Serie A,29,1994,25,9,950,10.6,0,0,0,0,0,0,1,0,1.2,1.2,0.7,1.9,0.0,0.0,0.0,0.12,0.06,0.18,0.12,0.18,19,11,9,18,50.0,11,16,23,322,487,66.1,5033,2123,-0.7,9,24,10
Pavel Kadeřábek,CZE,"DF,FW",Hoffenheim,Bundesliga,31,1992,29,28,2412,26.8,3,4,7,3,0,0,7,0,2.5,2.5,4.7,7.2,0.11,0.15,0.26,0.09,0.18,0.27,0.09,0.27,31,19,18,40,45.0,22,23,68,888,1273,69.8,14192,5402,-0.7,36,70,31
Paweł Dawidowicz,POL,DF,Hellas Verona,Serie A,28,1995,28,25,2143,23.8,0,0,0,0,0,0,5,0,0.5,0.5,0.0,0.6,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,53,30,17,29,58.6,17,24,114,972,1173,82.9,20339,7048,0.0,2,60,2
Pedro Pereira,POR,DF,Monza,Serie A,25,1998,23,9,841,9.3,0,2,2,0,0,0,3,0,0.2,0.2,1.2,1.4,0.0,0.21,0.21,0.02,0.12,0.14,0.02,0.14,19,13,9,17,52.9,15,4,18,406,517,78.5,6526,2297,0.8,14,41,15
Pedro Porro,ESP,DF,Tottenham,Premier League,23,1999,35,35,3089,34.3,3,7,10,3,0,0,3,0,2.9,2.9,7.2,10.1,0.09,0.2,0.29,0.09,0.21,0.3,0.09,0.3,91,63,62,120,51.7,63,34,102,1806,2369,76.2,27440,10519,-0.2,51,135,48
Pep Chavarría,ESP,"DF,MF",Rayo Vallecano,La Liga,25,1998,22,12,1167,13.0,1,1,2,1,0,0,6,1,1.0,1.0,0.7,1.7,0.08,0.08,0.15,0.07,0.05,0.13,0.07,0.13,23,18,11,17,64.7,15,6,29,618,812,76.1,10023,3436,0.3,13,48,27
Perr Schuurs,NED,DF,Torino,Serie A,23,1999,9,9,770,8.6,1,0,1,1,0,0,2,0,0.7,0.7,0.0,0.7,0.12,0.0,0.12,0.08,0.0,0.08,0.08,0.08,20,12,3,9,33.3,10,9,23,359,406,88.4,6478,1868,0.0,0,17,1
Peru Nolaskoain,ESP,"DF,MF",Athletic Club,La Liga,24,1998,2,0,10,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,100.0,0,0,1,5,8,62.5,103,31,0.0,0,1,0
Pervis Estupiñán,ECU,DF,Brighton,Premier League,25,1998,19,15,1243,13.8,2,3,5,2,0,0,4,0,1.0,1.0,3.5,4.4,0.14,0.22,0.36,0.07,0.25,0.32,0.07,0.32,26,13,14,30,46.7,14,21,20,809,962,84.1,11736,3617,-0.5,26,66,25
Philipp Lienhart,AUT,DF,Freiburg,Bundesliga,27,1996,15,14,1265,14.1,1,0,1,1,0,0,3,0,1.1,1.1,1.1,2.2,0.07,0.0,0.07,0.08,0.08,0.16,0.08,0.16,20,13,13,23,56.5,18,14,51,814,982,82.9,16894,6421,-1.1,3,51,5
Philipp Max,GER,DF,Eint Frankfurt,Bundesliga,29,1993,23,17,1350,15.0,1,2,3,1,0,0,2,0,0.2,0.2,2.8,3.0,0.07,0.13,0.2,0.02,0.18,0.2,0.02,0.2,26,17,19,26,73.1,18,7,18,742,898,82.6,11783,4002,-0.8,20,54,15
Phillipp Mwene,AUT,DF,Mainz 05,Bundesliga,29,1994,23,23,1996,22.2,1,2,3,1,0,0,4,1,1.4,1.4,2.0,3.4,0.05,0.09,0.14,0.06,0.09,0.15,0.06,0.15,34,15,16,33,48.5,27,17,47,652,934,69.8,11014,4320,0.0,22,49,32
Piero Hincapié,ECU,DF,Leverkusen,Bundesliga,21,2002,26,16,1484,16.5,1,2,3,1,0,0,2,0,1.9,1.9,0.5,2.5,0.06,0.12,0.18,0.12,0.03,0.15,0.12,0.15,35,22,13,17,76.5,18,13,43,1307,1435,91.1,19443,6533,1.5,6,99,9
Pierre Kalulu,FRA,DF,Milan,Serie A,23,2000,9,4,374,4.2,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.01,0.02,0.03,0.01,0.03,5,1,1,2,50.0,4,1,12,230,259,88.8,3921,1103,-0.1,2,17,2
Pietro Comuzzo,ITA,"DF,FW",Fiorentina,Serie A,18,2005,4,0,43,0.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,100.0,1,1,2,27,38,71.1,550,154,0.0,0,1,0
Pol Lirola,ESP,DF,Frosinone,Serie A,25,1997,25,18,1536,17.1,2,1,3,2,0,0,1,0,1.3,1.3,1.1,2.4,0.12,0.06,0.18,0.08,0.06,0.14,0.08,0.14,30,18,17,35,48.6,12,19,41,556,722,77.0,9018,3289,-0.1,13,37,14
Przemysław Frankowski,POL,DF,Lens,Ligue 1,28,1995,30,24,2192,24.4,3,2,5,2,1,2,4,0,3.7,2.1,3.8,5.9,0.12,0.08,0.21,0.15,0.16,0.31,0.09,0.24,60,39,31,74,41.9,30,25,36,1008,1320,76.4,16279,5614,-1.8,39,75,43
Quentin Merlin,FRA,DF,Nantes,Ligue 1,21,2002,16,15,1283,14.3,0,1,1,0,0,0,0,0,0.7,0.7,1.3,2.0,0.0,0.07,0.07,0.05,0.09,0.14,0.05,0.14,29,20,16,25,64.0,22,18,22,615,841,73.1,11723,4968,-0.3,18,72,28
Quentin Merlin,FRA,DF,Marseille,Ligue 1,21,2002,10,8,703,7.8,0,1,1,0,0,0,1,0,0.1,0.1,1.1,1.3,0.0,0.13,0.13,0.02,0.15,0.16,0.02,0.16,13,12,8,20,40.0,4,6,14,360,465,77.4,6916,2515,-0.1,12,48,9
Radu Drăgușin,ROU,DF,Genoa,Serie A,21,2002,19,19,1710,19.0,2,1,3,2,0,0,1,0,1.0,1.0,0.8,1.9,0.11,0.05,0.16,0.05,0.04,0.1,0.05,0.1,16,11,8,9,88.9,18,21,87,592,721,82.1,10460,3372,0.2,7,22,2
Radu Drăgușin,ROU,DF,Tottenham,Premier League,21,2002,9,4,429,4.8,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03,5,3,3,3,100.0,5,8,19,326,370,88.1,5633,1782,0.0,0,10,0
Rafa Marín,ESP,DF,Alavés,La Liga,21,2002,33,27,2443,27.1,0,0,0,0,0,0,6,0,0.7,0.7,0.3,1.0,0.0,0.0,0.0,0.03,0.01,0.04,0.03,0.04,32,20,14,27,51.9,34,33,129,846,1025,82.5,17631,7334,-0.3,5,71,2
Rafael Tolói,ITA,DF,Atalanta,Serie A,32,1990,18,10,965,10.7,0,0,0,0,0,0,6,1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,20,9,14,27,51.9,9,13,29,442,537,82.3,7801,2968,-0.1,2,48,4
Raimane Daou,COM,"DF,MF",Marseille,Ligue 1,18,2004,1,0,25,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,2,50.0,0,0,2,11,13,84.6,120,30,0.0,0,1,0
Ramy Bensebaini,ALG,DF,Dortmund,Bundesliga,28,1995,17,11,1033,11.5,0,0,0,0,0,0,4,1,1.7,1.7,0.4,2.1,0.0,0.0,0.0,0.15,0.03,0.18,0.15,0.18,34,21,24,34,70.6,22,16,37,702,851,82.5,11465,3639,-0.4,6,62,9
Raoul Bellanova,ITA,DF,Torino,Serie A,23,2000,37,36,3046,33.8,1,7,8,1,0,0,5,0,2.0,2.0,5.0,7.1,0.03,0.21,0.24,0.06,0.15,0.21,0.06,0.21,36,26,18,31,58.1,21,15,36,1232,1579,78.0,20583,5976,2.0,52,61,47
Raphaël Guerreiro,POR,"DF,MF",Bayern Munich,Bundesliga,29,1993,20,13,1191,13.2,3,0,3,3,0,0,2,0,2.4,2.4,2.0,4.4,0.23,0.0,0.23,0.18,0.15,0.33,0.18,0.33,19,16,9,15,60.0,7,15,5,880,1017,86.5,12817,4122,-2.0,23,68,26
Raphaël Varane,FRA,DF,Manchester Utd,Premier League,30,1993,22,16,1375,15.3,1,0,1,1,0,0,2,0,1.3,1.3,0.1,1.3,0.07,0.0,0.07,0.08,0.0,0.09,0.08,0.09,18,11,10,14,71.4,23,15,88,694,781,88.9,11976,3767,-0.1,1,59,4
Rasmus Carstensen,DEN,"DF,FW",Köln,Bundesliga,22,2000,23,18,1659,18.4,0,0,0,0,0,0,2,1,0.9,0.9,2.6,3.5,0.0,0.0,0.0,0.05,0.14,0.19,0.05,0.19,47,22,31,56,55.4,38,20,50,594,827,71.8,8927,3429,-2.6,16,27,20
Rasmus Kristensen,DEN,DF,Roma,Serie A,26,1997,29,19,1744,19.4,1,1,2,1,0,0,5,0,0.5,0.5,0.9,1.5,0.05,0.05,0.1,0.03,0.05,0.08,0.03,0.08,36,19,28,50,56.0,27,8,50,799,1037,77.0,12574,3602,0.1,12,35,11
Rasmus Nicolaisen,DEN,DF,Toulouse,Ligue 1,26,1997,33,33,2925,32.5,2,0,2,2,0,0,6,1,1.1,1.1,0.6,1.7,0.06,0.0,0.06,0.03,0.02,0.05,0.03,0.05,50,30,26,44,59.1,44,42,158,1426,1679,84.9,27959,10332,-0.6,5,71,2
Raúl Albiol,ESP,DF,Villarreal,La Liga,37,1985,26,24,2031,22.6,0,1,1,0,0,0,6,0,0.4,0.4,0.8,1.3,0.0,0.04,0.04,0.02,0.04,0.06,0.02,0.06,25,14,18,27,66.7,31,16,102,1095,1272,86.1,22569,8497,0.2,3,64,1
Raúl Torrente,ESP,DF,Granada,La Liga,21,2001,17,14,1250,13.9,0,0,0,0,0,0,4,0,0.2,0.2,0.4,0.6,0.0,0.0,0.0,0.01,0.03,0.04,0.01,0.04,29,16,17,22,77.3,16,11,68,605,764,79.2,12521,4811,-0.4,3,39,1
Rayan Aït-Nouri,ALG,"DF,MF",Wolves,Premier League,22,2001,33,29,2329,25.9,2,1,3,2,0,0,7,0,3.3,3.3,2.4,5.6,0.08,0.04,0.12,0.13,0.09,0.22,0.13,0.22,71,44,28,49,57.1,32,15,38,1005,1190,84.5,13946,3935,-1.4,25,60,13
Reece Burke,ENG,DF,Luton Town,Premier League,26,1996,22,20,1660,18.4,0,4,4,0,0,0,5,0,1.3,1.3,1.4,2.7,0.0,0.22,0.22,0.07,0.07,0.15,0.07,0.15,37,23,12,26,46.2,25,18,78,547,719,76.1,10396,4169,2.6,13,58,9
Reece James,ENG,DF,Chelsea,Premier League,23,1999,10,5,419,4.7,0,2,2,0,0,0,2,2,0.3,0.3,1.7,2.1,0.0,0.43,0.43,0.07,0.37,0.44,0.07,0.44,14,9,8,10,80.0,4,3,7,275,341,80.6,4433,1383,0.3,11,21,6
Reinildo Mandava,MOZ,DF,Atlético Madrid,La Liga,29,1994,16,7,731,8.1,2,1,3,2,0,0,2,0,0.9,0.9,0.6,1.5,0.25,0.12,0.37,0.1,0.08,0.18,0.1,0.18,30,22,19,22,86.4,10,15,21,353,414,85.3,5330,2062,0.4,5,21,3
Renan Lodi,BRA,DF,Marseille,Ligue 1,25,1998,14,14,1235,13.7,0,0,0,0,0,0,6,0,0.3,0.3,1.3,1.6,0.0,0.0,0.0,0.02,0.1,0.12,0.02,0.12,24,16,13,21,61.9,7,16,35,579,748,77.4,9900,2568,-1.3,14,37,11
Rhys Norrington-Davies,WAL,DF,Sheffield Utd,Premier League,24,1999,5,2,110,1.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,1,1,0,1,0.0,2,1,2,48,67,71.6,811,222,0.0,1,1,0
Ricard Sánchez,ESP,DF,Granada,La Liga,23,2000,33,25,2295,25.5,3,0,3,3,0,0,8,0,1.0,1.0,1.9,2.9,0.12,0.0,0.12,0.04,0.08,0.11,0.04,0.11,29,18,12,24,50.0,32,13,64,820,1091,75.2,13571,5329,-1.9,22,63,29
Ricardo Rodríguez,SUI,DF,Torino,Serie A,30,1992,35,34,2772,30.8,1,2,3,1,0,0,4,0,0.3,0.3,1.4,1.7,0.03,0.06,0.1,0.01,0.04,0.05,0.01,0.05,45,26,28,45,62.2,22,24,64,1401,1677,83.5,23641,8173,0.6,20,119,25
Ricardo Visus,ESP,DF,Betis,La Liga,22,2001,3,1,166,1.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,2,2,100.0,2,2,9,50,61,82.0,1066,343,0.0,0,2,0
Riccardo Calafiori,ITA,DF,Bologna,Serie A,21,2002,30,26,2349,26.1,2,5,7,2,0,0,4,0,1.4,1.4,1.2,2.6,0.08,0.19,0.27,0.05,0.05,0.1,0.05,0.1,47,32,22,32,68.8,38,50,74,1622,1810,89.6,28565,8660,3.8,17,94,10
Riccardo Marchizza,ITA,DF,Frosinone,Serie A,25,1998,13,13,1148,12.8,0,4,4,0,0,0,1,0,0.4,0.4,0.8,1.2,0.0,0.31,0.31,0.03,0.06,0.1,0.03,0.1,7,6,3,13,23.1,10,7,33,423,558,75.8,7144,3382,3.2,11,28,7
Rick Karsdorp,NED,DF,Roma,Serie A,28,1995,18,14,1191,13.2,0,2,2,0,0,0,2,0,0.4,0.4,2.2,2.7,0.0,0.15,0.15,0.03,0.17,0.2,0.03,0.2,25,18,16,24,66.7,13,9,16,544,684,79.5,8723,2416,-0.2,10,21,7
Rico Henry,ENG,DF,Brentford,Premier League,26,1997,5,5,401,4.5,0,1,1,0,0,0,1,0,0.1,0.1,1.0,1.1,0.0,0.22,0.22,0.02,0.22,0.24,0.02,0.24,7,5,6,7,85.7,8,5,5,147,183,80.3,2291,763,0.0,4,10,7
Rico Lewis,ENG,"DF,MF",Manchester City,Premier League,18,2004,16,8,809,9.0,2,0,2,2,0,0,1,0,0.6,0.6,1.1,1.8,0.22,0.0,0.22,0.07,0.12,0.19,0.07,0.19,10,7,3,7,42.9,7,4,6,518,568,91.2,7100,1127,-1.1,13,29,9
Ridgeciano Haps,SUR,DF,Genoa,Serie A,30,1993,16,7,773,8.6,0,1,1,0,0,0,0,0,0.1,0.1,0.7,0.8,0.0,0.12,0.12,0.01,0.08,0.1,0.01,0.1,7,6,5,8,62.5,3,6,11,161,221,72.9,2722,710,0.3,3,6,4
Ridle Baku,GER,"DF,MF",Wolfsburg,Bundesliga,25,1998,33,22,2013,22.4,1,0,1,1,0,0,4,0,1.8,1.8,3.0,4.8,0.04,0.0,0.04,0.08,0.13,0.21,0.08,0.21,37,20,21,46,45.7,27,21,45,789,1048,75.3,12508,3955,-3.0,29,46,26
Ritsu Doan,JPN,"DF,MF",Freiburg,Bundesliga,25,1998,30,26,2246,25.0,7,2,9,7,0,0,2,0,5.0,5.0,3.1,8.1,0.28,0.08,0.36,0.2,0.12,0.32,0.2,0.32,50,27,21,36,58.3,30,9,29,504,713,70.7,7391,2663,-1.1,31,49,22
Robert Gumny,POL,DF,Augsburg,Bundesliga,25,1998,13,6,481,5.3,0,0,0,0,0,0,3,0,0.2,0.2,0.1,0.3,0.0,0.0,0.0,0.04,0.01,0.05,0.04,0.05,6,5,1,5,20.0,13,7,15,138,195,70.8,2584,1192,-0.1,2,7,1
Robert Skov,DEN,"DF,FW",Hoffenheim,Bundesliga,27,1996,25,14,1260,14.0,3,4,7,3,0,0,2,0,1.8,1.8,1.9,3.7,0.21,0.29,0.5,0.13,0.14,0.26,0.13,0.26,24,16,17,36,47.2,17,10,23,542,736,73.6,9703,3351,2.1,23,50,19
Robin Gosens,GER,"DF,MF",Union Berlin,Bundesliga,29,1994,30,27,2283,25.4,6,3,9,6,0,0,9,1,2.1,2.1,3.0,5.1,0.24,0.12,0.35,0.08,0.12,0.2,0.08,0.2,63,44,30,44,68.2,52,36,75,858,1184,72.5,13673,6207,0.0,33,78,35
Robin Knoche,GER,DF,Union Berlin,Bundesliga,31,1992,24,20,1917,21.3,1,0,1,1,0,1,1,0,1.2,0.4,0.3,0.7,0.05,0.0,0.05,0.06,0.01,0.07,0.02,0.03,34,22,19,30,63.3,27,13,73,931,1153,80.7,18490,7064,-0.3,3,49,3
