Player,Annual Wage (Euros),Weekly Wage (Euros),Squad,Age,League
Mattia Caldara,4070000 ,78269 ,Milan,29,Serie A
Breel Embolo,4020000 ,77308 ,Monaco,26,Ligue 1
Jonny Evans,4000860 ,76940 ,Manchester Utd,35,Premier League
Sofyan Amrabat,4000860 ,76940 ,Manchester Utd,26,Premier League
Luis Sinisterra,4000860 ,76940 ,Bournemouth,24,Premier League
Łukasz Fabiański,4000860 ,76940 ,West Ham,38,Premier League
Maxwel Cornet,4000860 ,76940 ,West Ham,26,Premier League
Pablo Fornals,4000860 ,76940 ,West Ham,27,Premier League
Nicolas Jackson,4000860 ,76940 ,Chelsea,22,Premier League
Pascal Groß,4000860 ,76940 ,Brighton,32,Premier League
Adama Traoré,4000860 ,76940 ,Fulham,27,Premier League
Timothy Castagne,4000860 ,76940 ,Fulham,27,Premier League
Andrej Kramarić,4000000 ,76923 ,Hoffenheim,32,Bundesliga
Mathys Tel,4000000 ,76923 ,Bayern Munich,18,Bundesliga
Florian Neuhaus,4000000 ,76923 ,Gladbach,26,Bundesliga
Koen Casteels,4000000 ,76923 ,Wolfsburg,31,Bundesliga
Xaver Schlager,4000000 ,76923 ,RB Leipzig,25,Bundesliga
Jeremie Frimpong,4000000 ,76923 ,Leverkusen,22,Bundesliga
Jonas Hofmann,4000000 ,76923 ,Leverkusen,31,Bundesliga
Pau Cubarsí,4000000 ,76923 ,Barcelona,17,La Liga
Mouctar Diakhaby,4000000 ,76923 ,Valencia,26,La Liga
Julian Weigl,3960000 ,76154 ,Gladbach,27,Bundesliga
Valentin Rongier,3960000 ,76154 ,Marseille,28,Ligue 1
Diadie Samassékou,3900000 ,75000 ,Hoffenheim,27,Bundesliga
Diadie Samassékou,3900000 ,75000 ,Cádiz,27,La Liga
Denis Zakaria,3900000 ,75000 ,Monaco,26,Ligue 1
Saša Lukić,3877756 ,74572 ,Fulham,26,Premier League
Nicolás González,3850000 ,74038 ,Fiorentina,25,Serie A
Daichi Kamada,3850000 ,74038 ,Lazio,26,Serie A
Rui Patrício,3850000 ,74038 ,Roma,35,Serie A
Moise Kean,3850000 ,74038 ,Juventus,23,Serie A
Marko Arnautović,3850000 ,74038 ,Inter,34,Serie A
Pau López,3850000 ,74038 ,Marseille,28,Ligue 1
Chancel Mbemba,3840000 ,73846 ,Marseille,28,Ligue 1
Benjamin Henrichs,3800000 ,73077 ,RB Leipzig,26,Bundesliga
Daniel Parejo,3800000 ,73077 ,Villarreal,34,La Liga
Salih Özcan,3780000 ,72692 ,Dortmund,25,Bundesliga
Leonardo Bonucci,3770000 ,72500 ,Union Berlin,36,Bundesliga
David López,3750000 ,72115 ,Girona,33,La Liga
Benjamin Mendy,3750000 ,72115 ,Lorient,29,Ligue 1
Francis Coquelin,3740000 ,71923 ,Villarreal,32,La Liga
Moussa Sissoko,3720000 ,71538 ,Nantes,33,Ligue 1
Riccardo Orsolini,3700000 ,71154 ,Bologna,26,Serie A
Junior Messias,3700000 ,71154 ,Genoa,32,Serie A
Elseid Hysaj,3700000 ,71154 ,Lazio,29,Serie A
Mattia Zaccagni,3700000 ,71154 ,Lazio,28,Serie A
Nicolò Rovella,3700000 ,71154 ,Lazio,21,Serie A
Davide Calabria,3700000 ,71154 ,Milan,26,Serie A
Tiago Djaló,3700000 ,71154 ,Juventus,23,Serie A
Stefano Sensi,3700000 ,71154 ,Inter,27,Serie A
Scott McTominay,3693101 ,71021 ,Manchester Utd,26,Premier League
Manor Solomon,3693101 ,71021 ,Tottenham,24,Premier League
Cheick Doucouré,3693101 ,71021 ,Crystal Palace,23,Premier League
Tyler Adams,3693101 ,71021 ,Bournemouth,24,Premier League
Adrián,3693101 ,71021 ,Liverpool,36,Premier League
Nicolò Zaniolo,3693101 ,71021 ,Aston Villa,24,Premier League
Daniel Podence,3693101 ,71021 ,Wolves,27,Premier League
Matheus Cunha,3693101 ,71021 ,Wolves,24,Premier League
Anthony Gordon,3693101 ,71021 ,Newcastle Utd,22,Premier League
Miguel Almirón,3693101 ,71021 ,Newcastle Utd,29,Premier League
Nick Pope,3693101 ,71021 ,Newcastle Utd,31,Premier League
Robert Sánchez,3693101 ,71021 ,Chelsea,25,Premier League
James Milner,3693101 ,71021 ,Brighton,37,Premier League
Maxi Gómez,3650000 ,70192 ,Cádiz,26,La Liga
Arthur Theate,3640000 ,70000 ,Rennes,23,Ligue 1
Maxence Lacroix,3620000 ,69615 ,Wolfsburg,23,Bundesliga
Gerard Moreno,3620000 ,69615 ,Villarreal,31,La Liga
Yannick Gerhardt,3600000 ,69231 ,Wolfsburg,29,Bundesliga
Alexander Sørloth,3600000 ,69231 ,Villarreal,27,La Liga
Joan Jordán,3600000 ,69231 ,Sevilla,29,La Liga
Mikel Oyarzabal,3600000 ,69231 ,Real Sociedad,26,La Liga
Renan Lodi,3600000 ,69231 ,Marseille,25,Ligue 1
Rayan Cherki,3600000 ,69231 ,Lyon,19,Ligue 1
Gelson Martins,3600000 ,69231 ,Monaco,28,Ligue 1
Houssem Aouar,3590000 ,69038 ,Roma,25,Serie A
Stanislav Lobotka,3590000 ,69038 ,Napoli,28,Serie A
Mike Maignan,3590000 ,69038 ,Milan,28,Serie A
Jakub Kiwior,3569998 ,68654 ,Arsenal,23,Premier League
Vitaliy Mykolenko,3569998 ,68654 ,Everton,24,Premier League
Matías Vecino,3520000 ,67692 ,Lazio,31,Serie A
Mergim Berisha,3500000 ,67308 ,Hoffenheim,25,Bundesliga
Oliver Baumann,3500000 ,67308 ,Hoffenheim,33,Bundesliga
Christoph Kramer,3500000 ,67308 ,Gladbach,32,Bundesliga
Nico Elvedi,3500000 ,67308 ,Gladbach,26,Bundesliga
Amadou Haidara,3500000 ,67308 ,RB Leipzig,25,Bundesliga
Benjamin Šeško,3500000 ,67308 ,RB Leipzig,20,Bundesliga
Jadon Sancho,3500000 ,67308 ,Dortmund,23,Bundesliga
Kevin Trapp,3500000 ,67308 ,Eint Frankfurt,33,Bundesliga
Mario Götze,3500000 ,67308 ,Eint Frankfurt,31,Bundesliga
Oriol Romeu,3500000 ,67308 ,Barcelona,31,La Liga
Vitor Roque,3500000 ,67308 ,Barcelona,18,La Liga
Bertrand Traoré,3500000 ,67308 ,Villarreal,27,La Liga
Ángel Correa,3500000 ,67308 ,Atlético Madrid,28,La Liga
Leonardo Bonucci,3500000 ,67308 ,Juventus,36,Serie A
Diego Llorente,3460000 ,66538 ,Roma,29,Serie A
Andre-Frank Zambo Anguissa,3460000 ,66538 ,Napoli,27,Serie A
Luca Waldschmidt,3400000 ,65385 ,Köln,27,Bundesliga
Mohamed Elneny,3385343 ,65103 ,Arsenal,31,Premier League
Takehiro Tomiyasu,3385343 ,65103 ,Arsenal,24,Premier League
Ryan Sessegnon,3385343 ,65103 ,Tottenham,23,Premier League
Yves Bissouma,3385343 ,65103 ,Tottenham,26,Premier League
Chris Richards,3385343 ,65103 ,Crystal Palace,23,Premier League
Jaïro Riedewald,3385343 ,65103 ,Crystal Palace,26,Premier League
Saïd Benrahma,3385343 ,65103 ,West Ham,27,Premier League
Luis Díaz,3385343 ,65103 ,Liverpool,26,Premier League
Boubacar Traoré,3385343 ,65103 ,Wolves,21,Premier League
Dan Burn,3385343 ,65103 ,Newcastle Utd,31,Premier League
Emil Krafth,3385343 ,65103 ,Newcastle Utd,28,Premier League
Ben Mee,3385343 ,65103 ,Brentford,33,Premier League
Adam Webster,3385343 ,65103 ,Brighton,28,Premier League
Danny Welbeck,3385343 ,65103 ,Brighton,32,Premier League
Mahmoud Dahoud,3385343 ,65103 ,Brighton,27,Premier League
Séamus Coleman,3385343 ,65103 ,Everton,34,Premier League
Stefan Ortega,3385343 ,65103 ,Manchester City,30,Premier League
Maxence Caqueret,3360000 ,64615 ,Lyon,23,Ligue 1
Mahmoud Dahoud,3340000 ,64231 ,Stuttgart,27,Bundesliga
Danilo Cataldi,3330000 ,64038 ,Lazio,28,Serie A
Andrea Petagna,3330000 ,64038 ,Cagliari,28,Serie A
Marash Kumbulla,3330000 ,64038 ,Roma,23,Serie A
Giovanni Simeone,3330000 ,64038 ,Napoli,28,Serie A
Mário Rui,3330000 ,64038 ,Napoli,32,Serie A
Marius Wolf,3300000 ,63462 ,Dortmund,28,Bundesliga
Érik Lamela,3300000 ,63462 ,Sevilla,31,La Liga
Loïc Bade,3300000 ,63462 ,Sevilla,23,La Liga
Jonathan Clauss,3300000 ,63462 ,Marseille,30,Ligue 1
Lucas Beraldo,3270000 ,62885 ,Paris S-G,19,Ligue 1
Sergio Reguilón,3262239 ,62735 ,Manchester Utd,26,Premier League
Iñaki Peña,3250000 ,62500 ,Barcelona,24,La Liga
Javi Galán,3250000 ,62500 ,Atlético Madrid,28,La Liga
Thomas Lemar,3250000 ,62500 ,Atlético Madrid,27,La Liga
Arnaut Danjuma,3231464 ,62144 ,Everton,26,Premier League
Arthur Melo,3210000 ,61731 ,Fiorentina,26,Serie A
Ridgeciano Haps,3210000 ,61731 ,Genoa,30,Serie A
Mattéo Guendouzi,3210000 ,61731 ,Lazio,24,Serie A
Charles De Ketelaere,3210000 ,61731 ,Atalanta,22,Serie A
Amir Rrahmani,3210000 ,61731 ,Napoli,29,Serie A
Diego Demme,3210000 ,61731 ,Napoli,31,Serie A
Luka Jović,3210000 ,61731 ,Milan,25,Serie A
Filip Kostić,3210000 ,61731 ,Juventus,30,Serie A
Weston McKennie,3210000 ,61731 ,Juventus,24,Serie A
Denzel Dumfries,3210000 ,61731 ,Inter,27,Serie A
Matteo Darmian,3210000 ,61731 ,Inter,33,Serie A
Yann Sommer,3210000 ,61731 ,Inter,34,Serie A
Adnan Januzaj,3200000 ,61538 ,Sevilla,28,La Liga
Mikel Merino,3200000 ,61538 ,Real Sociedad,27,La Liga
Samuel Umtiti,3200000 ,61538 ,Lille,29,Ligue 1
Danilo Pereira,3200000 ,61538 ,Paris S-G,31,Ligue 1
Ozan Kabak,3150000 ,60577 ,Hoffenheim,23,Bundesliga
Armando Izzo,3150000 ,60577 ,Monza,31,Serie A
Cristiano Biraghi,3150000 ,60577 ,Fiorentina,30,Serie A
Manuel Lazzari,3150000 ,60577 ,Lazio,29,Serie A
Denis Suárez,3130000 ,60192 ,Villarreal,29,La Liga
Eric Bailly,3130000 ,60192 ,Villarreal,29,La Liga
Arthur Vermeeren,3130000 ,60192 ,Atlético Madrid,18,La Liga
Héctor Bellerín,3120000 ,60000 ,Betis,28,La Liga
Pablo Fornals,3120000 ,60000 ,Betis,27,La Liga
Raúl de Tomás,3100000 ,59615 ,Rayo Vallecano,28,La Liga
Amine Harit,3100000 ,59615 ,Marseille,26,Ligue 1
Mohammed Salisu,3100000 ,59615 ,Monaco,24,Ligue 1
Alejandro Garnacho,3077584 ,59184 ,Manchester Utd,19,Premier League
Mason Greenwood,3077584 ,59184 ,Manchester Utd,21,Premier League
Micky van de Ven,3077584 ,59184 ,Tottenham,22,Premier League
James Tomkins,3077584 ,59184 ,Crystal Palace,34,Premier League
Jean-Philippe Mateta,3077584 ,59184 ,Crystal Palace,26,Premier League
Jeffrey Schlupp,3077584 ,59184 ,Crystal Palace,30,Premier League
Marc Guéhi,3077584 ,59184 ,Crystal Palace,23,Premier League
David Brooks,3077584 ,59184 ,Bournemouth,26,Premier League
Marcos Senesi,3077584 ,59184 ,Bournemouth,26,Premier League
Neto,3077584 ,59184 ,Bournemouth,34,Premier League
Ryan Christie,3077584 ,59184 ,Bournemouth,28,Premier League
Aaron Cresswell,3077584 ,59184 ,West Ham,33,Premier League
Konstantinos Mavropanos,3077584 ,59184 ,West Ham,25,Premier League
Nayef Aguerd,3077584 ,59184 ,West Ham,27,Premier League
Wataru Endo,3077584 ,59184 ,Liverpool,30,Premier League
Calum Chambers,3077584 ,59184 ,Aston Villa,28,Premier League
Robin Olsen,3077584 ,59184 ,Aston Villa,33,Premier League
Matt Doherty,3077584 ,59184 ,Wolves,31,Premier League
Max Kilman,3077584 ,59184 ,Wolves,26,Premier League
Pedro Neto,3077584 ,59184 ,Wolves,23,Premier League
Sean Longstaff,3077584 ,59184 ,Newcastle Utd,25,Premier League
Valentino Livramento,3077584 ,59184 ,Newcastle Utd,20,Premier League
Mathias Jensen,3077584 ,59184 ,Brentford,27,Premier League
Neal Maupay,3077584 ,59184 ,Brentford,26,Premier League
Conor Gallagher,3077584 ,59184 ,Chelsea,23,Premier League
Noni Madueke,3077584 ,59184 ,Chelsea,21,Premier League
Trevoh Chalobah,3077584 ,59184 ,Chelsea,24,Premier League
João Pedro,3077584 ,59184 ,Brighton,21,Premier League
Joël Veltman,3077584 ,59184 ,Brighton,31,Premier League
Pervis Estupiñán,3077584 ,59184 ,Brighton,25,Premier League
Solly March,3077584 ,59184 ,Brighton,29,Premier League
Beto,3077584 ,59184 ,Everton,25,Premier League
Albert Sambi Lokonga,3077584 ,59184 ,Luton Town,23,Premier League
Joe Worrall,3077584 ,59184 ,Nott'ham Forest,26,Premier League
Neco Williams,3077584 ,59184 ,Nott'ham Forest,22,Premier League
Serge Aurier,3077584 ,59184 ,Nott'ham Forest,30,Premier League
Taiwo Awoniyi,3077584 ,59184 ,Nott'ham Forest,25,Premier League
Andreas Pereira,3077584 ,59184 ,Fulham,27,Premier League
Antonee Robinson,3077584 ,59184 ,Fulham,25,Premier League
Harrison Reed,3077584 ,59184 ,Fulham,28,Premier League
Kenny Tete,3077584 ,59184 ,Fulham,27,Premier League
Jeremy Doku,3077584 ,59184 ,Manchester City,21,Premier League
Sergio Gómez,3077584 ,59184 ,Manchester City,22,Premier League
Marc Roca,3030000 ,58269 ,Betis,26,La Liga
Sacha Boey,3000000 ,57692 ,Bayern Munich,22,Bundesliga
Jonas Omlin,3000000 ,57692 ,Gladbach,29,Bundesliga
Castello Lukeba,3000000 ,57692 ,RB Leipzig,20,Bundesliga
Jamie Gittens,3000000 ,57692 ,Dortmund,18,Bundesliga
Youssoufa Moukoko,3000000 ,57692 ,Dortmund,18,Bundesliga
Hugo Ekitike,3000000 ,57692 ,Eint Frankfurt,21,Bundesliga
Clément Lenglet,3000000 ,57692 ,Barcelona,28,La Liga
Sergiño Dest,3000000 ,57692 ,Barcelona,22,La Liga
Ander Herrera,3000000 ,57692 ,Athletic Club,33,La Liga
Dodi Lukebakio,3000000 ,57692 ,Sevilla,25,La Liga
Youssef En-Nesyri,3000000 ,57692 ,Sevilla,26,La Liga
Martín Zubimendi,3000000 ,57692 ,Real Sociedad,24,La Liga
Vitinha,3000000 ,57692 ,Genoa,23,Serie A
Wahbi Khazri,3000000 ,57692 ,Montpellier,32,Ligue 1
Vitinha,3000000 ,57692 ,Marseille,23,Ligue 1
Martin Terrier,3000000 ,57692 ,Rennes,26,Ligue 1
Brice Samba,3000000 ,57692 ,Lens,29,Ligue 1
Elye Wahi,3000000 ,57692 ,Lens,20,Ligue 1
Krépin Diatta,3000000 ,57692 ,Monaco,24,Ligue 1
Vanderson,3000000 ,57692 ,Monaco,22,Ligue 1
Antonio Sanabria,2960000 ,56923 ,Torino,27,Serie A
Rolando Mandragora,2960000 ,56923 ,Fiorentina,26,Serie A
Juan Musso,2960000 ,56923 ,Atalanta,29,Serie A
Jesper Lindstrøm,2950000 ,56731 ,Napoli,23,Serie A
Marcos Acuña,2900000 ,55769 ,Sevilla,31,La Liga
Iago Aspas,2900000 ,55769 ,Celta Vigo,35,La Liga
Hugo Duro,2890000 ,55577 ,Valencia,23,La Liga
Raúl Albiol,2840000 ,54615 ,Villarreal,37,La Liga
Callum Wilson,2831378 ,54450 ,Newcastle Utd,31,Premier League
Zack Steffen,2831378 ,54450 ,Manchester City,28,Premier League
Aster Vranckx,2830000 ,54423 ,Wolfsburg,20,Bundesliga
Mattias Svanberg,2830000 ,54423 ,Wolfsburg,24,Bundesliga
Dan-Axel Zagadou,2830000 ,54423 ,Stuttgart,24,Bundesliga
Robin Gosens,2830000 ,54423 ,Union Berlin,29,Bundesliga
Jonathan Tah,2830000 ,54423 ,Leverkusen,27,Bundesliga
Sebastiaan Bornauw,2820000 ,54231 ,Wolfsburg,24,Bundesliga
Felipe Anderson,2820000 ,54231 ,Lazio,30,Serie A
Pedro,2820000 ,54231 ,Lazio,36,Serie A
Mitchel Bakker,2820000 ,54231 ,Atalanta,23,Serie A
Carlos Augusto,2820000 ,54231 ,Inter,24,Serie A
Andriy Lunin,2810000 ,54038 ,Real Madrid,24,La Liga
Ellyes Skhiri,2800000 ,53846 ,Eint Frankfurt,28,Bundesliga
Fernando,2800000 ,53846 ,Sevilla,36,La Liga
Suso,2800000 ,53846 ,Sevilla,29,La Liga
Álex Remiro,2800000 ,53846 ,Real Sociedad,28,La Liga
Robin Le Normand,2800000 ,53846 ,Real Sociedad,26,La Liga
Ricardo Rodríguez,2780000 ,53462 ,Torino,30,Serie A
Roberto Gagliardini,2780000 ,53462 ,Monza,29,Serie A
Antonín Barák,2780000 ,53462 ,Fiorentina,28,Serie A
Fabiano Parisi,2780000 ,53462 ,Fiorentina,22,Serie A
Giacomo Bonaventura,2780000 ,53462 ,Fiorentina,33,Serie A
M'Bala Nzola,2780000 ,53462 ,Fiorentina,26,Serie A
Aleksei Miranchuk,2780000 ,53462 ,Atalanta,27,Serie A
Alex Meret,2780000 ,53462 ,Napoli,26,Serie A
Elif Elmas,2780000 ,53462 ,Napoli,23,Serie A
Rade Krunić,2780000 ,53462 ,Milan,29,Serie A
Mattia De Sciglio,2780000 ,53462 ,Juventus,30,Serie A
Mattia Perin,2780000 ,53462 ,Juventus,30,Serie A
Nicolò Fagioli,2780000 ,53462 ,Juventus,22,Serie A
Francesco Acerbi,2780000 ,53462 ,Inter,35,Serie A
Tajon Buchanan,2780000 ,53462 ,Inter,24,Serie A
Jeremie Boga,2780000 ,53462 ,Nice,26,Ligue 1
Dani García,2770000 ,53269 ,Athletic Club,33,La Liga
Fabio Vieira,2769826 ,53266 ,Arsenal,23,Premier League
Tom Heaton,2769826 ,53266 ,Manchester Utd,37,Premier League
Daniel Muñoz,2769826 ,53266 ,Crystal Palace,27,Premier League
Rob Holding,2769826 ,53266 ,Crystal Palace,27,Premier League
Hamed Junior Traorè,2769826 ,53266 ,Bournemouth,23,Premier League
Philip Billing,2769826 ,53266 ,Bournemouth,27,Premier League
Craig Dawson,2769826 ,53266 ,Wolves,33,Premier League
Mario Lemina,2769826 ,53266 ,Wolves,29,Premier League
Jack Cork,2769826 ,53266 ,Burnley,34,Premier League
Josh Brownhill,2769826 ,53266 ,Burnley,27,Premier League
Matt Ritchie,2769826 ,53266 ,Newcastle Utd,33,Premier League
Bryan Mbeumo,2769826 ,53266 ,Brentford,23,Premier League
Lesley Ugochukwu,2769826 ,53266 ,Chelsea,19,Premier League
Malo Gusto,2769826 ,53266 ,Chelsea,20,Premier League
Roméo Lavia,2769826 ,53266 ,Chelsea,19,Premier League
Igor,2769826 ,53266 ,Brighton,25,Premier League
Cheikhou Kouyaté,2769826 ,53266 ,Nott'ham Forest,33,Premier League
Moussa Niakhate,2769826 ,53266 ,Nott'ham Forest,27,Premier League
Odisseas Vlachodimos,2769826 ,53266 ,Nott'ham Forest,29,Premier League
Calvin Bassey,2769826 ,53266 ,Fulham,23,Premier League
Brenden Aaronson,2760000 ,53077 ,Union Berlin,22,Bundesliga
Jean Onana,2730000 ,52500 ,Marseille,23,Ligue 1
Adam Ounas,2730000 ,52500 ,Lille,26,Ligue 1
Ansu Fati,2710000 ,52115 ,Barcelona,20,La Liga
Ihlas Bebou,2700000 ,51923 ,Hoffenheim,29,Bundesliga
Álvaro Odriozola,2700000 ,51923 ,Real Sociedad,27,La Liga
Caio Henrique Oliveira Silva,2700000 ,51923 ,Monaco,26,Ligue 1
Lucas Tousart,2600000 ,50000 ,Union Berlin,26,Bundesliga
Lukáš Hrádecký,2600000 ,50000 ,Leverkusen,33,Bundesliga
Gabriel Paulista,2600000 ,50000 ,Atlético Madrid,32,La Liga
Roman Yaremchuk,2600000 ,50000 ,Valencia,27,La Liga
Morgan Sanson,2600000 ,50000 ,Nice,28,Ligue 1
Ludovic Blas,2600000 ,50000 ,Rennes,25,Ligue 1
Karol Linetty,2590000 ,49808 ,Torino,28,Serie A
Gaetano Castrovilli,2590000 ,49808 ,Fiorentina,26,Serie A
Luca Mazzitelli,2590000 ,49808 ,Frosinone,27,Serie A
Federico Gatti,2590000 ,49808 ,Juventus,25,Serie A
Carles Pérez,2560000 ,49231 ,Celta Vigo,25,La Liga
Nikola Vlašić,2560000 ,49231 ,Torino,25,Serie A
Kevin Strootman,2560000 ,49231 ,Genoa,33,Serie A
Éderson,2560000 ,49231 ,Atalanta,24,Serie A
Sead Kolašinac,2560000 ,49231 ,Atalanta,30,Serie A
Boulaye Dia,2560000 ,49231 ,Salernitana,26,Serie A
Rasmus Kristensen,2560000 ,49231 ,Roma,26,Serie A
Zeki Çelik,2560000 ,49231 ,Roma,26,Serie A
Noah Okafor,2560000 ,49231 ,Milan,23,Serie A
Pierre Kalulu,2560000 ,49231 ,Milan,23,Serie A
Yunus Musah,2560000 ,49231 ,Milan,20,Serie A
Timothy Weah,2560000 ,49231 ,Juventus,23,Serie A
Valentin Rosier,2550000 ,49038 ,Nice,26,Ligue 1
Mauro Arambarri,2520000 ,48462 ,Getafe,27,La Liga
Florian Grillitsch,2500000 ,48077 ,Hoffenheim,27,Bundesliga
Hiroki Ito,2500000 ,48077 ,Stuttgart,24,Bundesliga
Jiří Pavlenka,2500000 ,48077 ,Werder Bremen,31,Bundesliga
Leonardo Bittencourt,2500000 ,48077 ,Werder Bremen,29,Bundesliga
Naby Keïta,2500000 ,48077 ,Werder Bremen,28,Bundesliga
Rafael Borré,2500000 ,48077 ,Werder Bremen,27,Bundesliga
Christoph Baumgartner,2500000 ,48077 ,RB Leipzig,23,Bundesliga
Fabio Carvalho,2500000 ,48077 ,RB Leipzig,20,Bundesliga
Kevin Kampl,2500000 ,48077 ,RB Leipzig,32,Bundesliga
Gio Reyna,2500000 ,48077 ,Dortmund,20,Bundesliga
Lucas Alario,2500000 ,48077 ,Eint Frankfurt,30,Bundesliga
Sebastian Rode,2500000 ,48077 ,Eint Frankfurt,32,Bundesliga
Oihan Sancet,2500000 ,48077 ,Athletic Club,23,La Liga
Artem Dovbyk,2500000 ,48077 ,Girona,26,La Liga
Germán Pezzella,2500000 ,48077 ,Betis,32,La Liga
Joselu,2500000 ,48077 ,Real Madrid,33,La Liga
Marin Pongračić,2500000 ,48077 ,Lecce,25,Serie A
Rubén Blanco,2500000 ,48077 ,Marseille,28,Ligue 1
Tiemoué Bakayoko,2500000 ,48077 ,Lorient,28,Ligue 1
Emile Smith Rowe,2462068 ,47347 ,Arsenal,23,Premier League
Bryan Gil,2462068 ,47347 ,Tottenham,22,Premier League
Emerson,2462068 ,47347 ,Tottenham,24,Premier League
Oliver Skipp,2462068 ,47347 ,Tottenham,22,Premier League
Matheus França,2462068 ,47347 ,Crystal Palace,19,Premier League
Sam Johnstone,2462068 ,47347 ,Crystal Palace,30,Premier League
Tyrick Mitchell,2462068 ,47347 ,Crystal Palace,23,Premier League
Alex Scott,2462068 ,47347 ,Bournemouth,19,Premier League
Lewis Cook,2462068 ,47347 ,Bournemouth,26,Premier League
Harvey Elliott,2462068 ,47347 ,Liverpool,20,Premier League
Stefan Bajcetic,2462068 ,47347 ,Liverpool,19,Premier League
José Sá,2462068 ,47347 ,Wolves,30,Premier League
Jay Rodriguez,2462068 ,47347 ,Burnley,34,Premier League
Josh Cullen,2462068 ,47347 ,Burnley,27,Premier League
Sander Berge,2462068 ,47347 ,Burnley,25,Premier League
Fabian Schär,2462068 ,47347 ,Newcastle Utd,31,Premier League
Jamaal Lascelles,2462068 ,47347 ,Newcastle Utd,29,Premier League
Martin Dúbravka,2462068 ,47347 ,Newcastle Utd,34,Premier League
Frank Onyeka,2462068 ,47347 ,Brentford,25,Premier League
Kristoffer Ajer,2462068 ,47347 ,Brentford,25,Premier League
Armando Broja,2462068 ,47347 ,Chelsea,21,Premier League
Deivid Washington,2462068 ,47347 ,Chelsea,18,Premier League
Ashley Young,2462068 ,47347 ,Everton,38,Premier League
Gio Reyna,2462068 ,47347 ,Nott'ham Forest,20,Premier League
Matt Turner,2462068 ,47347 ,Nott'ham Forest,29,Premier League
Ola Aina,2462068 ,47347 ,Nott'ham Forest,26,Premier League
Willy Boly,2462068 ,47347 ,Nott'ham Forest,32,Premier League
Carlos Vinícius,2462068 ,47347 ,Fulham,28,Premier League
Tosin Adarabioyo,2462068 ,47347 ,Fulham,25,Premier League
Robin Koch,2460000 ,47308 ,Eint Frankfurt,27,Bundesliga
Kevin Mbabu,2420000 ,46538 ,Augsburg,28,Bundesliga
Duje Ćaleta-Car,2420000 ,46538 ,Lyon,26,Ligue 1
Karol Świderski,2410000 ,46346 ,Hellas Verona,26,Serie A
Alfred Duncan,2410000 ,46346 ,Fiorentina,30,Serie A
Antonio Candreva,2410000 ,46346 ,Salernitana,36,Serie A
Kevin Vogt,2400000 ,46154 ,Hoffenheim,31,Bundesliga
Luca Netz,2400000 ,46154 ,Gladbach,20,Bundesliga
Kevin Volland,2400000 ,46154 ,Union Berlin,31,Bundesliga
Yeray Álvarez,2400000 ,46154 ,Athletic Club,28,La Liga
Hamari Traoré,2400000 ,46154 ,Real Sociedad,31,La Liga
Juanmi,2400000 ,46154 ,Cádiz,30,La Liga
Vicente Guaita,2400000 ,46154 ,Celta Vigo,36,La Liga
Moses Simon,2400000 ,46154 ,Nantes,28,Ligue 1
William Carvalho,2350000 ,45192 ,Betis,31,La Liga
Florian Thauvin,2310000 ,44423 ,Udinese,30,Serie A
Lucas Beltrán,2310000 ,44423 ,Fiorentina,22,Serie A
Mateo Retegui,2310000 ,44423 ,Genoa,24,Serie A
Valentín Castellanos,2310000 ,44423 ,Lazio,24,Serie A
Ademola Lookman,2310000 ,44423 ,Atalanta,25,Serie A
Luis Muriel,2310000 ,44423 ,Atalanta,32,Serie A
Stefan Lainer,2300000 ,44231 ,Gladbach,30,Bundesliga
Óliver Torres,2300000 ,44231 ,Sevilla,28,La Liga
Sergio Ramos,2290000 ,44038 ,Sevilla,37,La Liga
Sokratis Papastathopoulos,2290000 ,44038 ,Betis,35,La Liga
Benjamin Bourigeaud,2280000 ,43846 ,Rennes,29,Ligue 1
Steve Mandanda,2280000 ,43846 ,Rennes,38,Ligue 1
Samuel Gigot,2270000 ,43654 ,Marseille,29,Ligue 1
Marvin Ducksch,2260000 ,43462 ,Werder Bremen,29,Bundesliga
Sergi Darder,2250000 ,43269 ,Mallorca,29,La Liga
Federico Bonazzoli,2220000 ,42692 ,Hellas Verona,26,Serie A
Raoul Bellanova,2220000 ,42692 ,Torino,23,Serie A
Christian Kouamé,2220000 ,42692 ,Fiorentina,25,Serie A
Patric,2220000 ,42692 ,Lazio,30,Serie A
Nicolas Seiwald,2200000 ,42308 ,RB Leipzig,22,Bundesliga
Alfonso Pedraza,2200000 ,42308 ,Villarreal,27,La Liga
Iker Muniain,2200000 ,42308 ,Athletic Club,30,La Liga
Djené,2200000 ,42308 ,Getafe,31,La Liga
Aritz Elustondo,2200000 ,42308 ,Real Sociedad,29,La Liga
Brais Méndez,2200000 ,42308 ,Real Sociedad,26,La Liga
Willian José,2200000 ,42308 ,Betis,31,La Liga
Ainsley Maitland-Niles,2200000 ,42308 ,Lyon,25,Ligue 1
Aleksandr Kokorin,2180000 ,41923 ,Fiorentina,32,Serie A
Jonathan Ikone,2180000 ,41923 ,Fiorentina,25,Serie A
Sardar Azmoun,2180000 ,41923 ,Roma,28,Serie A
Tijjani Reijnders,2180000 ,41923 ,Milan,25,Serie A
Enzo Le Fée,2180000 ,41923 ,Rennes,23,Ligue 1
Pierre Lees-Melou,2180000 ,41923 ,Brest,30,Ligue 1
